Specimen ID,Specimen,Sample,Sample ID,Run Time,All Abs. Count,All Count,E4 Abs. Count,Abs_count_minus_negative
26,T3_______8_5_20,76 1:20,3412,8/5/20 14:02,1272,25331,8.9,8.9
26,T3_______8_5_20,77 1:10,3414,8/5/20 14:03,2298,45605,39.3,39.3
26,T3_______8_5_20,77 1:20,3415,8/5/20 14:04,1125,22424,20.4,20.4
26,T3_______8_5_20,78 1:10,3416,8/5/20 14:06,2496,49580,33,33
26,T3_______8_5_20,79 1:10,3419,8/5/20 14:09,4099,80969,40,40
26,T3_______8_5_20,79 1:50,3421,8/5/20 14:11,849,16917,8.25,8.25
26,T3_______8_5_20,80 1:10,3422,8/5/20 14:12,375,7487,4.4,4.4
26,T3_______8_5_20,80 1:5,3423,8/5/20 14:13,411,8209,13.4,13.4
26,T3_______8_5_20,80,3564,8/5/20 14:15,1679,33429,56.1,56.1
26,T3_______8_5_20,81 1:10,3424,8/5/20 14:16,5402,106390,21.1,21.1
26,T3_______8_5_20,81 1:50(1),3565,8/5/20 14:21,1131,22532,4.6,4.6
26,T3_______8_5_20,81 1:50,3425,8/5/20 14:18,1136,22641,5.1,5.1
26,T3_______8_5_20,82 1:10,3427,8/5/20 14:19,1527,30410,12.8,12.8
26,T3_______8_5_20,83 1:10,3428,8/5/20 14:22,3772,74621,15.5,15.5
26,T3_______8_5_20,unstained_GTA(1),3567,8/5/20 14:23,29.7,584,0.15,0.15
26,T3_______8_5_20,83 1:20,3429,8/5/20 14:24,1719,34181,9.4,9.4
26,T3_______8_5_20,84 1:10,3430,8/5/20 14:26,285,5705,0.1,0.1
26,T3_______8_5_20,84,3431,8/5/20 14:27,341,6804,0.8,0.8
26,T3_______8_5_20,85 1:10,3433,8/5/20 14:28,2196,43664,15.9,15.9
26,T3_______8_5_20,85 1:10 from OG,3432,8/5/20 14:29,1810,36025,13.4,13.4
26,T3_______8_5_20,87 1:10,3436,8/5/20 14:31,3402,67395,16.3,16.3
26,T3_______8_5_20,87 1:20,3437,8/5/20 14:32,1184,23600,8.1,8.1
26,T3_______8_5_20,88 1:10 from OG,3438,8/5/20 14:35,1891,59794,9.12,9.12
26,T3_______8_5_20,88 1:10,3439,8/5/20 14:33,2034,40428,8.85,8.85
26,T3_______8_5_20,89 1:10,3441,8/5/20 14:36,1346,26835,30.4,30.4
26,T3_______8_5_20,90 1:10,3442,8/5/20 14:38,471,9409,6.55,6.55
26,T3_______8_5_20,90 1:5,3443,8/5/20 14:39,480,9597,14.1,14.1
26,T3_______8_5_20,91 1:10,3444,8/5/20 14:40,5392,106160,52.3,52.3
