Specimen ID,Specimen,Sample,Sample ID,Run Time,All Abs. Count,All Count,E4 Abs. Count
27,T4_______8_12_20,86 1:10,3585,8/12/2020 10:44:13 AM,2738,54386,27.9
27,T4_______8_12_20,112 1:10,3492,8/12/2020 10:48:04 AM,2534,50326,16.7
27,T4_______8_12_20,113 1:10,3494,8/12/2020 10:49:15 AM,391,4618,2.03
27,T4_______8_12_20,113,3495,8/12/2020 10:50:11 AM,1162,23151,0.5
27,T4_______8_12_20,114 1:10,3496,8/12/2020 10:51:19 AM,188,3760,0
27,T4_______8_12_20,114,3497,8/12/2020 10:52:52 AM,317,9665,0.196
27,T4_______8_12_20,115 1:10,3498,8/12/2020 10:54:24 AM,2260,44909,20.6
27,T4_______8_12_20,116 1:10,3500,8/12/2020 10:55:32 AM,2335,46388,40.5
27,T4_______8_12_20,117 1:10,3502,8/12/2020 10:56:57 AM,525,10476,5.65
27,T4_______8_12_20,117 1:5,3503,8/12/2020 10:59:10 AM,668,13346,5.7
27,T4_______8_12_20,118 1:10,3504,8/12/2020 11:00:33 AM,2375,47178,12.3
27,T4_______8_12_20,118 1:20,3505,8/12/2020 11:01:47 AM,1100,21940,4
27,T4_______8_12_20,119 1:10,3506,8/12/2020 11:03:08 AM,2071,41148,36
27,T4_______8_12_20,120 1:10,3508,8/12/2020 11:04:17 AM,356,7113,1.25
27,T4_______8_12_20,120,3509,8/12/2020 11:06:15 AM,904,18016,40
27,T4_______8_12_20,121 1:10,3510,8/12/2020 11:07:23 AM,512,10231,2.45
27,T4_______8_12_20,121 1:2,3511,8/12/2020 11:08:31 AM,1266,25217,12
27,T4_______8_12_20,122  1:10,3512,8/12/2020 11:09:38 AM,640,12786,27.7
27,T4_______8_12_20,123 1:10,3514,8/12/2020 11:10:46 AM,2553,50640,22
27,T4_______8_12_20,124 1:10,3516,8/12/2020 11:12:22 AM,4221,83348,20.3
27,T4_______8_12_20,124 1:20,3517,8/12/2020 11:13:30 AM,2226,100167,9.83
27,T4_______8_12_20,125 1:10,3518,8/12/2020 11:15:36 AM,2523,50123,12.2
27,T4_______8_12_20,125 1:10 from OG,3519,8/12/2020 11:17:03 AM,1824,36257,2.2
27,T4_______8_12_20,126 1:10,3520,8/12/2020 11:18:12 AM,3772,74576,14.1
